Build Type,Date,Time,Application,Environment,Release,Publish Type,App Job Name,App Job Build Number,Spinner Job Name,Spinner Job Build Number,App Job Duration,Spinner Job Duration,Total Execution,Total Time (In mins.secs)
Manual,8/1/2016,2:16:55,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,506,PLM-WINDPLM-DB,441,31 mins 49 secs,1 mins 30 secs,33 mins 19 secs,33.19
Manual,8/1/2016,3:34:18,ENERGYPLM,QA2,Release_6_1_10,all,PLM-ENERGYPLM-APP,297,PLM-ENERGYPLM-DB,224,97 mins 32 secs,0 mins 54 secs,98 mins 26 secs,98.26
Auto,8/1/2016,4:20:29,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,507,PLM-WINDPLM-DB,442,31 mins 36 secs,1 mins 40 secs,33 mins 16 secs,33.16
Auto,8/1/2016,5:55:54,WINDPLM,QA2,Release_4_4,all,PLM-WINDPLM-APP,508,PLM-WINDPLM-DB,443,27 mins 56 secs,0 mins 53 secs,28 mins 50 secs,28.5
Auto,8/1/2016,6:09:24,WINDPLM,QA2,Release_4_4,app,PLM-WINDPLM-APP,509,,,14 mins 23 secs,,14 mins 23 secs,14.23
Auto,8/1/2016,7:03:52,WINDPLM,DEV4,wind_dev_4_4,app,PLM-WINDPLM-APP,510,,,25 mins 10 secs,,25 mins 10 secs,25.1
Manual,8/1/2016,7:54:37,WINDPLM,QA,Release_4_5,all,PLM-WINDPLM-APP,511,PLM-WINDPLM-DB,444,21 mins 4 secs,1 mins 0 secs,22 mins 5 secs,22.5
Manual,8/1/2016,10:13:28,ENERGYPLM,QA2,Release_6_1_10,all,PLM-ENERGYPLM-APP,298,PLM-ENERGYPLM-DB,225,16 mins 50 secs,0 mins 30 secs,17 mins 21 secs,17.21
Auto,8/1/2016,10:49:20,AEROPLM,DEV,Dev_3_10_0,db,PLM-AEROPLM-APP,189,PLM-AEROPLM-DB,197,5 mins 35 secs,1 mins 12 secs,6 mins 48 secs,6.48
Auto,8/1/2016,10:55:58,WINDPLM,QA,Release_4_5,db,PLM-WINDPLM-APP,513,PLM-WINDPLM-DB,445,15 mins 26 secs,0 mins 43 secs,16 mins 10 secs,16.1
Manual,8/1/2016,11:47:05,NuclearPLM,DEV16,Release_4_0,all,PLM-NuclearPLM-APP,4,PLM-NuclearPLM-DB,4,102 mins 28 secs,7 mins 8 secs,109 mins 36 secs,109.36
Auto,8/1/2016,14:08:27,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,514,PLM-WINDPLM-DB,446,27 mins 46 secs,0 mins 51 secs,28 mins 37 secs,28.37
Manual,8/1/2016,15:27:42,POWERPLM,DEV1,Release_1_0,all,PLM-POWERPLM-APP,31,PLM-POWERPLM-DB,20,86 mins 21 secs,1 mins 31 secs,87 mins 52 secs,87.52
Manual,8/1/2016,17:21:33,POWERPLM,DEV2,Release_1_0,all,PLM-POWERPLM-APP,32,PLM-POWERPLM-DB,21,80 mins 14 secs,1 mins 31 secs,81 mins 45 secs,81.45
Manual,8/1/2016,17:39:23,NuclearPLM,DEV16,Release_4_0,db,PLM-NuclearPLM-APP,5,PLM-NuclearPLM-DB,5,86 mins 5 secs,6 mins 13 secs,92 mins 19 secs,92.19
Auto,8/2/2016,0:06:48,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,515,PLM-WINDPLM-DB,447,23 mins 19 secs,0 mins 55 secs,24 mins 14 secs,24.14
Auto,8/2/2016,3:07:13,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,516,PLM-WINDPLM-DB,448,24 mins 16 secs,0 mins 52 secs,25 mins 8 secs,25.8
Auto,8/2/2016,3:25:21,WINDPLM,DEV,wind_dev_4_5,app,PLM-WINDPLM-APP,517,,,19 mins 6 secs,,19 mins 6 secs,19.6
Auto,8/2/2016,3:57:51,WINDPLM,DEV3,wind_dev_4_3_IB,app,PLM-WINDPLM-APP,518,,,18 mins 20 secs,,18 mins 20 secs,18.2
Auto,8/2/2016,7:03:16,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,519,PLM-WINDPLM-DB,449,20 mins 39 secs,0 mins 53 secs,21 mins 33 secs,21.33
Auto,8/2/2016,7:26:29,WINDPLM,DEV,wind_dev_4_5,db,PLM-WINDPLM-APP,520,PLM-WINDPLM-DB,450,22 mins 19 secs,0 mins 47 secs,23 mins 6 secs,23.6
Manual,8/2/2016,7:44:04,POWERPLM,DEV1,Release_1_0,db,PLM-POWERPLM-APP,33,PLM-POWERPLM-DB,22,62 mins 43 secs,1 mins 24 secs,64 mins 7 secs,64.7
Auto,8/2/2016,7:49:06,WINDPLM,QA3,Release_4_3,db,PLM-WINDPLM-APP,521,PLM-WINDPLM-DB,451,20 mins 5 secs,0 mins 48 secs,20 mins 54 secs,20.54
Manual,8/2/2016,8:48:14,ENERGYPLM,QA2,Release_6_1_10,all,PLM-ENERGYPLM-APP,299,PLM-ENERGYPLM-DB,226,33 mins 23 secs,0 mins 51 secs,34 mins 15 secs,34.15
Manual,8/2/2016,8:51:50,POWERPLM,DEV2,Release_1_0,db,PLM-POWERPLM-APP,34,PLM-POWERPLM-DB,23,61 mins 35 secs,1 mins 33 secs,63 mins 8 secs,63.8
Auto,8/2/2016,9:14:09,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,522,PLM-WINDPLM-DB,452,23 mins 55 secs,0 mins 57 secs,24 mins 53 secs,24.53
Manual,8/2/2016,9:43:13,NuclearPLM,DEV16,Release_4_0,all,PLM-NuclearPLM-APP,8,PLM-NuclearPLM-DB,6,106 mins 5 secs,1 mins 28 secs,107 mins 33 secs,107.33
Auto,8/2/2016,13:59:00,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,523,PLM-WINDPLM-DB,453,20 mins 31 secs,0 mins 48 secs,21 mins 20 secs,21.2
Manual,8/2/2016,15:49:56,POWERPLM,DEV1,Release_1_0,db,PLM-POWERPLM-APP,35,PLM-POWERPLM-DB,24,50 mins 2 secs,1 mins 27 secs,51 mins 30 secs,51.3
Manual,8/2/2016,16:41:00,POWERPLM,DEV2,Release_1_0,db,PLM-POWERPLM-APP,36,PLM-POWERPLM-DB,25,51 mins 2 secs,1 mins 27 secs,52 mins 30 secs,52.3
Auto,8/3/2016,0:01:30,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,524,PLM-WINDPLM-DB,454,19 mins 20 secs,1 mins 2 secs,20 mins 22 secs,20.22
Auto,8/3/2016,3:01:08,WINDPLM,DEV,wind_dev_4_5,db,PLM-WINDPLM-APP,525,PLM-WINDPLM-DB,455,16 mins 39 secs,0 mins 52 secs,17 mins 32 secs,17.32
Auto,8/3/2016,3:19:52,WINDPLM,QA2,Release_4_4,all,PLM-WINDPLM-APP,526,PLM-WINDPLM-DB,456,19 mins 9 secs,0 mins 42 secs,19 mins 51 secs,19.51
Auto,8/3/2016,5:55:47,WINDPLM,QA3,Release_4_3,all,PLM-WINDPLM-APP,527,PLM-WINDPLM-DB,457,18 mins 18 secs,0 mins 41 secs,19 mins 0 secs,19
Auto,8/3/2016,6:13:44,WINDPLM,QA3,Release_4_3,db,PLM-WINDPLM-APP,528,PLM-WINDPLM-DB,458,6 mins 28 secs,0 mins 39 secs,7 mins 8 secs,7.8
Auto,8/3/2016,6:28:44,WINDPLM,QA3,Release_4_3,db,PLM-WINDPLM-APP,529,PLM-WINDPLM-DB,459,6 mins 30 secs,0 mins 42 secs,7 mins 13 secs,7.13
Auto,8/3/2016,6:57:59,WINDPLM,DEV,wind_dev_4_5,all,PLM-WINDPLM-APP,530,PLM-WINDPLM-DB,460,18 mins 5 secs,0 mins 37 secs,18 mins 43 secs,18.43
Auto,8/3/2016,7:12:53,WINDPLM,QA3,Release_4_3,db,PLM-WINDPLM-APP,531,PLM-WINDPLM-DB,461,14 mins 33 secs,0 mins 43 secs,15 mins 17 secs,15.17
Auto,8/3/2016,8:54:46,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,532,PLM-WINDPLM-DB,462,15 mins 11 secs,0 mins 56 secs,16 mins 7 secs,16.7
Manual,8/3/2016,10:38:13,ENERGYPLM,QA2,Release_6_1_10,db,PLM-ENERGYPLM-APP,300,PLM-ENERGYPLM-DB,227,10 mins 40 secs,1 mins 0 secs,11 mins 41 secs,11.41
Auto,8/3/2016,11:04:04,WINDPLM,DEV,wind_dev_4_5,db,PLM-WINDPLM-APP,533,PLM-WINDPLM-DB,463,18 mins 55 secs,1 mins 1 secs,19 mins 57 secs,19.57
Manual,8/3/2016,11:41:45,NuclearPLM,DEV16,Release_4_0,app,PLM-NuclearPLM-APP,11,,,0 mins 0 secs,,0 mins 0 secs,0
Auto,8/3/2016,13:58:06,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,534,PLM-WINDPLM-DB,464,19 mins 9 secs,0 mins 48 secs,19 mins 57 secs,19.57
Auto,8/3/2016,23:56:46,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,535,PLM-WINDPLM-DB,465,14 mins 55 secs,0 mins 45 secs,15 mins 41 secs,15.41
Manual,8/4/2016,3:19:09,AEROPLM,DEV,Dev_3_10_0,app,PLM-AEROPLM-APP,190,,,42 mins 37 secs,,42 mins 37 secs,42.37
Auto,8/4/2016,3:48:36,WINDPLM,QA2,Release_4_4,all,PLM-WINDPLM-APP,536,PLM-WINDPLM-DB,466,19 mins 19 secs,0 mins 38 secs,19 mins 58 secs,19.58
Manual,8/4/2016,3:53:43,ENERGYPLM,QA1,Release_6_1_10,all,PLM-ENERGYPLM-APP,301,PLM-ENERGYPLM-DB,228,33 mins 53 secs,0 mins 44 secs,34 mins 38 secs,34.38
Auto,8/4/2016,4:03:27,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,537,PLM-WINDPLM-DB,467,14 mins 38 secs,0 mins 48 secs,15 mins 26 secs,15.26
Manual,8/4/2016,4:37:52,AEROPLM,QA,Release_3_8_0,app,PLM-AEROPLM-APP,191,,,18 mins 17 secs,,18 mins 17 secs,18.17
Auto,8/4/2016,6:07:59,WINDPLM,QA3,Release_4_3,db,PLM-WINDPLM-APP,538,PLM-WINDPLM-DB,468,14 mins 47 secs,0 mins 50 secs,15 mins 38 secs,15.38
Auto,8/4/2016,6:32:59,WINDPLM,QA,Release_4_5,all,PLM-WINDPLM-APP,539,PLM-WINDPLM-DB,469,17 mins 54 secs,0 mins 54 secs,18 mins 49 secs,18.49
Auto,8/4/2016,6:55:43,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,540,PLM-WINDPLM-DB,470,17 mins 37 secs,0 mins 47 secs,18 mins 24 secs,18.24
Auto,8/4/2016,10:57:11,WINDPLM,DEV,wind_dev_4_5,db,PLM-WINDPLM-APP,541,PLM-WINDPLM-DB,471,16 mins 37 secs,0 mins 45 secs,17 mins 23 secs,17.23
Manual,8/4/2016,13:33:20,NuclearPLM,DEV16,Release_4_0,app,PLM-NuclearPLM-APP,12,,,0 mins 0 secs,,0 mins 0 secs,0
Auto,8/4/2016,13:58:56,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,542,PLM-WINDPLM-DB,472,20 mins 35 secs,0 mins 57 secs,21 mins 32 secs,21.32
Auto,8/5/2016,2:55:08,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,543,PLM-WINDPLM-DB,473,13 mins 23 secs,0 mins 55 secs,14 mins 18 secs,14.18
Auto,8/5/2016,3:13:07,WINDPLM,QA2,Release_4_4,all,PLM-WINDPLM-APP,544,PLM-WINDPLM-DB,474,18 mins 16 secs,0 mins 37 secs,18 mins 54 secs,18.54
Auto,8/5/2016,3:22:25,WINDPLM,QA2,Release_4_4,app,PLM-WINDPLM-APP,545,,,0 mins 0 secs,,0 mins 0 secs,0
Auto,8/5/2016,3:57:48,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,546,PLM-WINDPLM-DB,475,17 mins 56 secs,0 mins 42 secs,18 mins 39 secs,18.39
Auto,8/5/2016,8:48:28,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,547,PLM-WINDPLM-DB,476,9 mins 32 secs,0 mins 40 secs,10 mins 12 secs,10.12
Auto,8/5/2016,9:03:46,WINDPLM,QA3,Release_4_3,db,PLM-WINDPLM-APP,548,PLM-WINDPLM-DB,477,15 mins 4 secs,0 mins 43 secs,15 mins 47 secs,15.47
Manual,8/5/2016,9:39:03,ENERGYPLM,QA1,Release_6_1_10,app,PLM-ENERGYPLM-APP,303,,,17 mins 26 secs,,17 mins 26 secs,17.26
Auto,8/5/2016,10:58:57,WINDPLM,DEV,wind_dev_4_5,all,PLM-WINDPLM-APP,549,PLM-WINDPLM-DB,478,17 mins 32 secs,0 mins 52 secs,18 mins 25 secs,18.25
Manual,8/5/2016,11:28:17,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,550,PLM-WINDPLM-DB,479,20 mins 5 secs,1 mins 28 secs,21 mins 34 secs,21.34
Manual,8/5/2016,12:10:07,NuclearPLM,DEV16,Release_4_0,all,PLM-NuclearPLM-APP,13,PLM-NuclearPLM-DB,7,72 mins 21 secs,2 mins 8 secs,74 mins 30 secs,74.3
